No;Nama RS;Wilayah;Nama Dokter;Penyakit;Jumlah Kasus;Tahun
1;RSUD Bekasi;Bekasi Timur;dr. Andi Saputra;TBC;128;2022
2;RS Sentra Medika Cikarang;Cikarang;dr. Maya Kurniawati;Pneumonia;95;2022
3;RS Bhakti Kartini;Bekasi Barat;dr. Rio Nugroho;TBC;110;2022
4;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Lestari Dewi;Pneumonia;87;2022
5;RS Harapan Mulia;Bekasi Selatan;dr. Ahmad Fadhil;TBC;102;2022
6;RSUD Bekasi;Bekasi Timur;dr. Andi Saputra;TBC;135;2023
7;RS Sentra Medika Cikarang;Cikarang;dr. Maya Kurniawati;Pneumonia;110;2023
8;RS Bhakti Kartini;Bekasi Barat;dr. Rio Nugroho;Pneumonia;93;2023
9;RS Mitra Keluarga Bekasi Timur;Bekasi Timur;dr. Lestari Dewi;TBC;140;2023
10;RS Harapan Mulia;Bekasi Selatan;dr. Ahmad Fadhil;Pneumonia;105;2023
11;RSUD Bekasi;Bekasi Timur;dr. Andi Saputra;TBC;144;2024
12;RS Sentra Medika Cikarang;Cikarang;dr. Maya Kurniawati;Pneumonia;143;2024
13;RS Bhakti Kartini;Bekasi Barat;dr. Rio Nugroho;TBC;105;2024
14;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Lestari Dewi;Pneumonia;126;2024
15;RS Harapan Mulia;Bekasi Selatan;dr. Ahmad Fadhil;TBC;113;2024
16;RSUD Bekasi;Bekasi Timur;dr. Andi Saputra;TBC;117;2025
17;RS Sentra Medika Cikarang;Cikarang;dr. Maya Kurniawati;Pneumonia;103;2025
18;RS Bhakti Kartini;Bekasi Barat;dr. Rio Nugroho;Pneumonia;148;2025
19;RS Mitra Keluarga Bekasi Timur;Bekasi Timur;dr. Lestari Dewi;TBC;105;2025
20;RS Harapan Mulia;Bekasi Selatan;dr. Ahmad Fadhil;Pneumonia;93;2025
21;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Ahmad Fadhil;TBC;151;2026
22;RS Harapan Mulia;Bekasi Selatan;dr. Maya Kurniawati;TBC;154;2024
23;RS Harapan Mulia;Bekasi Selatan;dr. Lestari Dewi;TBC;82;2026
24;RS Sentra Medika Cikarang;Cikarang;dr. Lestari Dewi;Pneumonia;81;2025
25;RS Harapan Mulia;Bekasi Selatan;dr. Andi Saputra;TBC;101;2026
26;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Andi Saputra;TBC;138;2023
27;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Lestari Dewi;TBC;141;2024
28;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Lestari Dewi;Pneumonia;82;2026
29;RS Bhakti Kartini;Bekasi Barat;dr. Ahmad Fadhil;TBC;97;2025
30;RSUD Bekasi;Bekasi Timur;dr. Lestari Dewi;Pneumonia;88;2023
31;RS Harapan Mulia;Bekasi Selatan;dr. Maya Kurniawati;Pneumonia;139;2025
32;RS Harapan Mulia;Bekasi Selatan;dr. Rio Nugroho;Pneumonia;115;2023
33;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Maya Kurniawati;TBC;133;2023
34;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Ahmad Fadhil;Pneumonia;123;2023
35;RS Sentra Medika Cikarang;Cikarang;dr. Lestari Dewi;Pneumonia;127;2025
36;RSUD Bekasi;Bekasi Timur;dr. Ahmad Fadhil;TBC;132;2023
37;RSUD Bekasi;Bekasi Timur;dr. Lestari Dewi;Pneumonia;120;2026
38;RS Harapan Mulia;Bekasi Selatan;dr. Andi Saputra;TBC;88;2022
39;RS Mitra Keluarga Bekasi Barat;Bekasi Barat;dr. Rio Nugroho;TBC;87;2024
40;RS Bhakti Kartini;Bekasi Barat;dr. Andi Saputra;Pneumonia;120;2025
41;RSUD Bekasi;Bekasi Timur;dr. Lestari Dewi;TBC;127;2026
42;RS Bhakti Kartini;Bekasi Barat;dr. Lestari Dewi;Pneumonia;114;2022
43;RS Bhakti Kartini;Bekasi Barat;dr. Ahmad Fadhil;Pneumonia;82;2022
